sym,method,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades,split_id,test_fold_ids,purge_days,embargo_days
AG,WFA,1.0,2012-05-10,2014-04-10,2014-04-10,2014-12-16,"{'fast_window': 20, 'slow_window': 40}",0.8411687475234612,3.1159634250000012,21,-1.1881770515720096,-0.19385857499999437,-0.19385857499999692,1,,,,
AG,WFA,2.0,2013-01-15,2014-12-16,2014-12-16,2015-08-23,"{'fast_window': 20, 'slow_window': 40}",0.3966632643927508,0.8768625000000085,13,0.13239807531807143,0.0852753750000046,-0.4878884532522722,9,,,,
AG,WFA,3.0,2013-09-22,2015-08-23,2015-08-23,2016-04-29,"{'fast_window': 20, 'slow_window': 40}",0.1833061376956408,0.35751239999999296,15,1.7575660366107615,0.8381810249999955,-0.23941897557602762,1,,,,
AG,WFA,4.0,2014-05-30,2016-04-29,2016-04-29,2017-01-04,"{'fast_window': 20, 'slow_window': 40}",1.0227306988878213,1.7235537749999974,17,0.5560887743867137,0.409122449999999,-0.5644905062267416,9,,,,
AG,WFA,5.0,2015-02-04,2017-01-04,2017-01-04,2017-09-11,"{'fast_window': 20, 'slow_window': 60}",1.193136897275518,2.6346441000000054,11,0.10365433074500721,0.04990357500000986,-0.5311100571698378,3,,,,
AG,WFA,6.0,2015-10-12,2017-09-11,2017-09-11,2018-05-19,"{'fast_window': 20, 'slow_window': 60}",0.8947097263559448,2.000618700000012,13,-0.8459362218309272,-0.27923737500000767,-0.3402497144957707,5,,,,
AG,WFA,7.0,2016-06-18,2018-05-19,2018-05-19,2019-01-24,"{'fast_window': 30, 'slow_window': 100}",-0.14386983403905643,-0.18254549999999758,7,0.6207233499360488,0.0911562750000039,-0.20192822755268827,1,,,,
AG,WFA,8.0,2017-02-23,2019-01-24,2019-01-24,2019-10-01,"{'fast_window': 20, 'slow_window': 100}",-0.006411329545307219,-0.006141449999996773,9,0.0,0.0,0.0,0,,,,
AG,WFA,9.0,2017-10-31,2019-10-01,2019-10-01,2020-06-07,"{'fast_window': 10, 'slow_window': 40}",0.8632505380053035,1.3463477249999967,15,0.5198542831009779,0.6565850999999956,-1.332229680973784,9,,,,
AG,WFA,10.0,2018-07-08,2020-06-07,2020-06-07,2021-02-12,"{'fast_window': 20, 'slow_window': 40}",1.1071340054906125,2.9774052750000113,17,0.6818429817155047,1.2405870750000103,-1.5188234519881867,3,,,,
AG,WFA,11.0,2019-03-15,2021-02-12,2021-02-12,2021-10-20,"{'fast_window': 20, 'slow_window': 40}",1.4395852379619702,6.683212199999988,13,0.36091263541774377,0.36315142500000785,-1.1775595629795905,3,,,,
AG,WFA,12.0,2019-11-20,2021-10-20,2021-10-20,2022-06-27,"{'fast_window': 20, 'slow_window': 40}",1.2277662907108342,5.947351200000006,17,0.9176649432147459,0.8537873249999883,-0.6094533276314829,3,,,,
AG,WFA,13.0,2020-07-27,2022-06-27,2022-06-27,2023-03-04,"{'fast_window': 20, 'slow_window': 40}",0.2827650016592723,0.9531559500000064,19,1.2997967852933103,1.286536650000003,-0.7046042999999947,5,,,,
AG,WFA,14.0,2021-04-03,2023-03-04,2023-03-04,2023-11-09,"{'fast_window': 20, 'slow_window': 40}",0.8096274228417069,2.3707860000000025,17,0.5355595119390509,0.4159489500000113,-0.7233870391495185,9,,,,
AG,WFA,15.0,2021-12-09,2023-11-09,2023-11-09,2024-07-16,"{'fast_window': 30, 'slow_window': 40}",0.8773639905533335,2.520884925,23,1.668145023818857,2.995261800000004,-1.3189677861883413,3,,,,
AG,WFA,16.0,2022-08-16,2024-07-16,2024-07-16,2025-03-23,"{'fast_window': 30, 'slow_window': 40}",0.9088540057401941,3.3651085500000066,21,0.0851525151777765,0.08876879999999421,-1.1047975972853643,7,,,,
AG,WFA,17.0,2023-04-23,2025-03-23,2025-03-23,2025-11-28,"{'fast_window': 20, 'slow_window': 40}",1.1548082646754276,5.448214724999989,31,0.0,0.0,0.0,0,,,,
AG,PWF,,2012-05-10,2015-02-06,2015-02-26,2016-07-21,"{'fast_window': 20, 'slow_window': 40}",0.808180339092495,,25,1.3783140566318755,1.9424646000000045,-0.48865811538110837,13,0.0,2,20.0,0.0
AG,PWF,,2012-05-10,2016-07-01,2016-07-21,2017-12-14,"{'fast_window': 20, 'slow_window': 40}",0.9096073128946036,,45,-0.835187185542013,-1.0982682000000077,-1.587544618222102,25,1.0,3,20.0,0.0
AG,PWF,,2012-05-10,2017-11-24,2017-12-14,2019-05-09,"{'fast_window': 20, 'slow_window': 40}",0.6337755402194512,,71,0.45832838949183113,0.2752317749999955,-0.6203254485901274,11,2.0,4,20.0,0.0
AG,PWF,,2012-05-10,2019-04-19,2019-05-09,2020-10-01,"{'fast_window': 20, 'slow_window': 40}",0.49716431250674264,,91,1.8176586812663087,5.706858675000004,-1.2359221265748337,9,3.0,5,20.0,0.0
AG,PWF,,2012-05-10,2020-09-11,2020-10-01,2022-02-24,"{'fast_window': 20, 'slow_window': 40}",0.7813800695705885,,101,0.2393375576166221,0.6314748000000092,-1.1911490866008423,17,4.0,6,20.0,0.0
